year,race,driver,predicted_position,probability,final_position,abs_error
2023,Miami Grand Prix,MAG,10,16.72,7.0,3.0
2023,Miami Grand Prix,NOR,19,13.61,15.0,4.0
2023,Miami Grand Prix,OCO,9,32.61,3.0,6.0
2023,Miami Grand Prix,PER,14,14.32,1.0,13.0
2023,Miami Grand Prix,PIA,19,19.33,14.0,5.0
2023,Miami Grand Prix,RUS,4,53.2,4.0,0.0
2023,Miami Grand Prix,SAI,4,18.28,3.0,1.0
2023,Miami Grand Prix,SAR,20,30.73,18.0,2.0
2023,Miami Grand Prix,STR,12,24.88,7.0,5.0
2023,Miami Grand Prix,TSU,11,24.51,8.0,3.0
2023,Miami Grand Prix,VER,1,87.04,1.0,0.0
2023,Miami Grand Prix,ZHO,11,16.22,10.0,1.0
2023,Monaco Grand Prix,ALB,18,25.18,13.0,5.0
2023,Monaco Grand Prix,ALO,2,52.1,2.0,0.0
2023,Monaco Grand Prix,BOT,12,28.72,11.0,1.0
2023,Monaco Grand Prix,DEV,12,43.61,12.0,0.0
2023,Monaco Grand Prix,GAS,8,43.01,3.0,5.0
2023,Monaco Grand Prix,HAM,7,31.79,4.0,3.0
2023,Monaco Grand Prix,HUL,16,48.05,14.0,2.0
2023,Monaco Grand Prix,LEC,7,51.66,3.0,4.0
2023,Monaco Grand Prix,MAG,14,35.31,12.0,2.0
2023,Monaco Grand Prix,NOR,10,63.64,9.0,1.0
2023,Monaco Grand Prix,OCO,4,48.65,3.0,1.0
2023,Monaco Grand Prix,PER,19,54.08,15.0,4.0
2023,Monaco Grand Prix,PIA,10,59.29,9.0,1.0
2023,Monaco Grand Prix,RUS,3,48.54,3.0,0.0
2023,Monaco Grand Prix,SAI,5,61.77,3.0,2.0
2023,Monaco Grand Prix,SAR,15,24.42,15.0,0.0
2023,Monaco Grand Prix,STR,15,48.73,15.0,0.0
2023,Monaco Grand Prix,TSU,9,41.92,9.0,0.0
2023,Monaco Grand Prix,VER,1,88.22,1.0,0.0
2023,Monaco Grand Prix,ZHO,17,51.36,13.0,4.0
2023,Qatar Grand Prix,ALB,13,26.72,2.0,11.0
2023,Qatar Grand Prix,ALO,3,21.59,3.0,0.0
2023,Qatar Grand Prix,BOT,8,22.1,3.0,5.0
2023,Qatar Grand Prix,GAS,10,25.2,6.0,4.0
2023,Qatar Grand Prix,HUL,16,21.09,5.0,11.0
2023,Qatar Grand Prix,LAW,17,23.28,10.0,7.0
2023,Qatar Grand Prix,LEC,5,45.16,3.0,2.0
2023,Qatar Grand Prix,MAG,14,21.35,8.0,6.0
2023,Qatar Grand Prix,NOR,3,38.17,2.0,1.0
2023,Qatar Grand Prix,OCO,7,24.2,5.0,2.0
2023,Qatar Grand Prix,PER,11,31.57,3.0,8.0
2023,Qatar Grand Prix,PIA,3,36.23,2.0,1.0
2023,Qatar Grand Prix,RUS,4,69.14,2.0,2.0
2023,Qatar Grand Prix,SAR,17,33.71,8.0,9.0
2023,Qatar Grand Prix,STR,9,26.85,5.0,4.0
2023,Qatar Grand Prix,TSU,15,24.08,8.0,7.0
2023,Qatar Grand Prix,VER,1,88.37,1.0,0.0
2023,Qatar Grand Prix,ZHO,12,39.5,4.0,8.0
2023,Saudi Arabian Grand Prix,ALB,15,39.13,9.0,6.0
2023,Saudi Arabian Grand Prix,ALO,9,25.66,1.0,8.0
2023,Saudi Arabian Grand Prix,BOT,18,44.23,15.0,3.0
