year,race,driver,position,probability
2025,Spanish Grand Prix,HAD,14,2.73
2025,Spanish Grand Prix,HAD,15,4.2
2025,Spanish Grand Prix,HAD,16,2.22
2025,Spanish Grand Prix,HAD,17,3.55
2025,Spanish Grand Prix,HAD,18,2.76
2025,Spanish Grand Prix,HAD,19,3.06
2025,Spanish Grand Prix,HAD,20,1.55
2025,Spanish Grand Prix,RUS,1,0.84
2025,Spanish Grand Prix,RUS,2,4.64
2025,Spanish Grand Prix,RUS,3,12.94
2025,Spanish Grand Prix,RUS,4,47.05
2025,Spanish Grand Prix,RUS,5,12.7
2025,Spanish Grand Prix,RUS,6,8.33
2025,Spanish Grand Prix,RUS,7,4.73
2025,Spanish Grand Prix,RUS,8,1.46
2025,Spanish Grand Prix,RUS,9,0.87
2025,Spanish Grand Prix,RUS,10,0.58
2025,Spanish Grand Prix,RUS,11,0.57
2025,Spanish Grand Prix,RUS,12,0.23
2025,Spanish Grand Prix,RUS,13,0.01
2025,Spanish Grand Prix,RUS,14,0.04
2025,Spanish Grand Prix,RUS,15,0.21
2025,Spanish Grand Prix,RUS,16,0.01
2025,Spanish Grand Prix,RUS,17,0.41
2025,Spanish Grand Prix,RUS,18,0.46
2025,Spanish Grand Prix,RUS,19,3.72
2025,Spanish Grand Prix,RUS,20,0.19
2025,Spanish Grand Prix,PIA,1,17.64
2025,Spanish Grand Prix,PIA,2,53.41
2025,Spanish Grand Prix,PIA,3,10.74
2025,Spanish Grand Prix,PIA,4,4.63
2025,Spanish Grand Prix,PIA,5,1.93
2025,Spanish Grand Prix,PIA,6,0.94
2025,Spanish Grand Prix,PIA,7,1.37
2025,Spanish Grand Prix,PIA,8,0.38
2025,Spanish Grand Prix,PIA,9,0.25
2025,Spanish Grand Prix,PIA,10,2.33
2025,Spanish Grand Prix,PIA,11,0.27
2025,Spanish Grand Prix,PIA,12,0.22
2025,Spanish Grand Prix,PIA,13,0.51
2025,Spanish Grand Prix,PIA,14,0.14
2025,Spanish Grand Prix,PIA,15,0.68
2025,Spanish Grand Prix,PIA,16,0.15
2025,Spanish Grand Prix,PIA,17,1.73
2025,Spanish Grand Prix,PIA,18,1.96
2025,Spanish Grand Prix,PIA,19,0.23
2025,Spanish Grand Prix,PIA,20,0.51
2025,Spanish Grand Prix,BEA,1,0.02
2025,Spanish Grand Prix,BEA,2,0.21
2025,Spanish Grand Prix,BEA,3,0.3
2025,Spanish Grand Prix,BEA,4,0.73
2025,Spanish Grand Prix,BEA,5,2.43
2025,Spanish Grand Prix,BEA,6,0.82
2025,Spanish Grand Prix,BEA,7,3.27
2025,Spanish Grand Prix,BEA,8,3.56
2025,Spanish Grand Prix,BEA,9,4.47
2025,Spanish Grand Prix,BEA,10,6.9
2025,Spanish Grand Prix,BEA,11,7.29
2025,Spanish Grand Prix,BEA,12,5.79
2025,Spanish Grand Prix,BEA,13,6.92
2025,Spanish Grand Prix,BEA,14,9.66
2025,Spanish Grand Prix,BEA,15,6.31
2025,Spanish Grand Prix,BEA,16,10.05
2025,Spanish Grand Prix,BEA,17,16.71
2025,Spanish Grand Prix,BEA,18,5.17
2025,Spanish Grand Prix,BEA,19,5.48
2025,Spanish Grand Prix,BEA,20,3.9
