year,race,driver,fastest_lap,avg_lap,stints,pitstops,laps_completed,track_affinity,team_strength,momentum,final_position
2023,British Grand Prix,VER,90.275,92.063644,2,0,52.0,0.1,0.5,0.599999640000216,1
2023,British Grand Prix,GAS,91.539,93.310444,2,0,44.0,0.1,0.7,0.09999999000000101,11
2023,British Grand Prix,PER,90.914,92.731813,2,0,52.0,0.1,0.5,0.09999999000000101,6
2023,British Grand Prix,ALO,91.338,92.967181,2,0,52.0,0.1,0.8,0.21428566836735677,7
2023,British Grand Prix,LEC,91.255,92.805295,3,0,52.0,0.1,0.85,0.16666663888889352,9
2023,British Grand Prix,STR,91.508,93.270045,2,0,52.0,0.1,0.8,0.09999999000000101,11
2023,British Grand Prix,SAR,91.699,93.318139,2,0,52.0,0.1,0.5,0.09999999000000101,12
2023,British Grand Prix,MAG,93.356,94.3378,1,0,31.0,0.1,0.5,0.09999999000000101,14
2023,British Grand Prix,DEV,92.353,93.561372,3,0,52.0,0.1,0.4,0.09999999000000101,17
2023,British Grand Prix,TSU,92.084,93.41972,3,0,52.0,0.1,0.4,0.09999999000000101,16
2023,British Grand Prix,ALB,91.273,93.064931,2,0,52.0,0.1,0.5,0.09999999000000101,8
2023,British Grand Prix,ZHO,91.769,93.482116,3,0,52.0,0.1,0.4,0.09999999000000101,15
2023,British Grand Prix,HUL,91.776,93.340744,3,0,52.0,0.1,0.5,0.09999999000000101,14
2023,British Grand Prix,OCO,93.846,94.229375,1,0,9.0,0.1,0.7,0.09999999000000101,12
2023,British Grand Prix,NOR,90.543,92.442434,2,0,52.0,0.1,0.75,0.09999999000000101,2
2023,British Grand Prix,HAM,90.545,92.634244,2,0,52.0,0.1,0.9,0.2727271983471277,3
2023,British Grand Prix,SAI,91.366,92.815767,2,0,52.0,0.1,0.85,0.11111109876543349,10
2023,British Grand Prix,RUS,91.124,92.567813,2,0,52.0,0.1,0.9,0.29999991000002696,5
2023,British Grand Prix,BOT,91.852,93.484279,2,0,52.0,0.1,0.4,0.09999999000000101,13
2023,British Grand Prix,PIA,90.85,92.424279,2,0,52.0,0.1,0.75,0.09999999000000101,4
2023,Hungarian Grand Prix,VER,80.504,83.425092,3,0,70.0,0.1,0.5,0.599999640000216,1
2023,Hungarian Grand Prix,NOR,82.178,83.952969,3,0,70.0,0.1,0.75,0.09999999000000101,2
2023,Hungarian Grand Prix,PER,82.295,83.809532,3,0,70.0,0.1,0.5,0.09999999000000101,3
2023,Hungarian Grand Prix,HAM,81.601,83.938446,3,0,70.0,0.1,0.9,0.2727271983471277,4
2023,Hungarian Grand Prix,PIA,82.736,84.360323,3,0,70.0,0.1,0.75,0.09999999000000101,5
2023,Hungarian Grand Prix,RUS,82.158,84.162645,3,0,70.0,0.1,0.9,0.29999991000002696,7
